order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6348,0.6502,0.6162,0.6128,0.9516
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7518,0.7269,0.7050,0.7079,0.9828
"Gulls, Terns, and Allies",26,1038,0.7620,0.7327,0.7393,0.7306,0.9624
"Hawks, Kites, Eagles, and Allies",29,1260,0.7627,0.7588,0.7475,0.7474,0.9627
Skuas and Alcids,4,91,0.7692,0.7061,0.7171,0.7097,0.9560
Loons,6,226,0.8053,0.7938,0.7761,0.7828,0.9735
Woodpeckers,16,843,0.8268,0.8301,0.8253,0.8230,0.9893
Caracaras and Falcons,7,346,0.8382,0.8328,0.8127,0.8172,0.9682
"Ducks, Geese, and Swans",70,2420,0.8599,0.8556,0.8393,0.8322,0.9806
Perching Birds,265,12539,0.8659,0.8614,0.8445,0.8466,0.9784
Grebes,9,375,0.8800,0.8852,0.8768,0.8791,0.9813
Owls,9,426,0.8873,0.8947,0.8806,0.8860,0.9836
"Plovers, Sandpipers, and Allies",32,1573,0.9142,0.9225,0.9131,0.9135,0.9930
"Pelicans, Herons, Ibises, and Allies",21,983,0.9156,0.9176,0.9047,0.9090,0.9868
Cranes and Rails,6,200,0.9200,0.9306,0.8406,0.8591,0.9950
Pigeons and Doves,7,359,0.9276,0.9490,0.9253,0.9367,0.9805
Cuckoos,3,113,0.9292,0.9383,0.9233,0.9300,0.9912
Storks,1,56,0.9464,0.9464,0.9464,0.9464,1.0000
Nightjars,1,39,0.9487,0.9487,0.9487,0.9487,0.9744
"Grouse, Quail, and Allies",10,342,0.9591,0.9411,0.9427,0.9413,0.9883
Kingfishers and Allies,1,60,0.9667,0.9831,0.9667,0.9748,0.9833
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
