species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.1852,0.4167,0.1852,0.2564,0.9259
Cassin's Vireo,1,36,0.1944,0.2500,0.1944,0.2188,0.9167
Pacific Wren,1,21,0.2381,0.8333,0.2381,0.3704,1.0000
Greater Scaup,2,73,0.2466,0.5530,0.2143,0.2918,0.8493
Bank Swallow,1,27,0.2593,0.8750,0.2593,0.4000,0.8889
California Gull,2,66,0.2727,0.3642,0.2585,0.2990,0.8636
Barrow's Goldeneye,2,60,0.3000,1.0000,0.2743,0.4071,0.9667
Vaux's Swift,1,28,0.3571,0.4167,0.3571,0.3846,0.9643
Tundra Swan,1,28,0.3571,0.6250,0.3571,0.4545,1.0000
Northwestern Crow,1,19,0.3684,0.4118,0.3684,0.3889,0.9474
Fish Crow,1,30,0.4000,0.2553,0.4000,0.3117,0.9333
Allen's Hummingbird,2,101,0.4257,0.7679,0.3738,0.4321,0.9307
Bell's Vireo,1,29,0.4483,0.6842,0.4483,0.5417,0.8276
Great Cormorant,2,64,0.4531,0.5193,0.4292,0.4698,0.9688
Black-capped Chickadee,1,60,0.4667,0.8235,0.4667,0.5957,0.9500
American Crow,1,57,0.4737,0.4821,0.4737,0.4779,0.9825
Red-naped Sapsucker,1,54,0.4815,0.7222,0.4815,0.5778,1.0000
Plumbeous Vireo,1,41,0.4878,0.6452,0.4878,0.5556,0.9024
Mourning Warbler,1,52,0.5000,0.6842,0.5000,0.5778,0.8077
Greater Yellowlegs,1,59,0.5085,0.8571,0.5085,0.6383,0.9661
Brandt's Cormorant,1,33,0.5152,0.8500,0.5152,0.6415,1.0000
Mew Gull,1,23,0.5217,0.3636,0.5217,0.4286,0.9130
Western Gull,2,59,0.5254,0.5293,0.4738,0.4958,0.8305
Common Raven,1,57,0.5263,0.4918,0.5263,0.5085,0.9474
Swainson's Hawk,3,93,0.5269,0.5053,0.5265,0.5075,0.9247
Brewer's Blackbird,2,91,0.5275,0.7460,0.5559,0.6306,0.9341
Great-tailed Grackle,1,60,0.5333,0.6400,0.5333,0.5818,0.9500
Sharp-shinned Hawk,2,116,0.5345,0.6200,0.5345,0.5705,0.9741
Black-chinned Hummingbird,2,109,0.5413,0.5829,0.5549,0.5654,0.8624
