class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,1,15,25,0.0625,0.0385,0.0476,0.0385,0.6538,Herring Gull (Immature) (8)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,2,19,19,0.0952,0.0952,0.0952,0.0952,0.8571,"Black-chinned Hummingbird (Female, immature) (9)"
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,13,24,0.1875,0.1111,0.1395,0.1111,0.8889,Common Raven (14)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,2,0,23,1.0000,0.0800,0.1481,0.0800,0.9200,Common Goldeneye (Female/Eclipse male) (17)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,4,13,21,0.2353,0.1600,0.1905,0.1600,0.8400,Herring Gull (Immature) (6)
344,Fish Crow,Fish Crow,Perching Birds,30,7,14,23,0.3333,0.2333,0.2745,0.2333,0.7667,American Crow (12)
351,Bank Swallow,Bank Swallow,Perching Birds,27,6,1,21,0.8571,0.2222,0.3529,0.2222,0.7407,Northern Rough-winged Swallow (7)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,8,9,20,0.4706,0.2857,0.3556,0.2857,0.9643,Trumpeter Swan (18)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,2,0,7,1.0000,0.2222,0.3636,0.2222,0.8889,Dark-eyed Junco (Slate-colored) (7)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,23,40,36,0.3651,0.3898,0.3770,0.3898,0.7627,"Anna's Hummingbird (Female, immature) (9)"
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,4,1,12,0.8000,0.2500,0.3810,0.2500,1.0000,Fox Sparrow (Sooty) (10)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,8,4,22,0.6667,0.2667,0.3810,0.2667,0.8000,Lesser Scaup (Female/Eclipse male) (16)
377,Pacific Wren,Pacific Wren,Perching Birds,21,5,0,16,1.0000,0.2381,0.3846,0.2381,0.8571,Winter Wren (16)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,11,2,30,0.8462,0.2683,0.4074,0.2683,0.8293,"Rufous Hummingbird (Female, immature) (21)"
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,9,12,14,0.4286,0.3913,0.4091,0.3913,0.8696,Ring-billed Gull (Adult) (5)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,12,15,18,0.4444,0.4000,0.4211,0.4000,0.8667,Swainson's Hawk (Light morph ) (4)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,7,5,12,0.5833,0.3684,0.4516,0.3684,0.9474,American Crow (10)
353,Cave Swallow,Cave Swallow,Perching Birds,34,14,13,20,0.5185,0.4118,0.4590,0.4118,0.7647,Cliff Swallow (13)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,20,30,17,0.4000,0.5405,0.4598,0.5405,1.0000,"Calliope Hummingbird (Female, immature) (9)"
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,9,8,13,0.5294,0.4091,0.4615,0.4091,1.0000,Herring Gull (Immature) (7)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,16,12,25,0.5714,0.3902,0.4638,0.3902,0.8293,Ring-billed Gull (Adult) (10)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,16,17,20,0.4848,0.4444,0.4638,0.4444,0.9167,Blue-headed Vireo (10)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,10,9,14,0.5263,0.4167,0.4651,0.4167,0.8750,Double-crested Cormorant (Immature) (10)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,10,9,14,0.5263,0.4167,0.4651,0.4167,0.8333,Red-tailed Hawk (Light morph immature) (6)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,9,9,11,0.5000,0.4500,0.4737,0.4500,0.9000,Pigeon Guillemot (Breeding) (8)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,13,14,14,0.4815,0.4815,0.4815,0.4815,1.0000,Common Loon (Nonbreeding/juvenile) (10)
501,American Crow,American Crow,Perching Birds,57,36,52,21,0.4091,0.6316,0.4966,0.6316,0.9825,Common Raven (10)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,16,19,13,0.4571,0.5517,0.5000,0.5517,0.8621,"Calliope Hummingbird (Female, immature) (6)"
346,Common Raven,Common Raven,Perching Birds,57,31,35,26,0.4697,0.5439,0.5041,0.5439,0.9649,American Crow (16)
