order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6700,0.6717,0.6497,0.6504,0.9450
Skuas and Alcids,4,91,0.7143,0.6721,0.6612,0.6637,0.9121
"Hawks, Kites, Eagles, and Allies",29,1260,0.7508,0.7486,0.7311,0.7329,0.9389
"Gulls, Terns, and Allies",26,1038,0.7582,0.7200,0.7212,0.7150,0.9518
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7690,0.7421,0.7161,0.7141,0.9705
Loons,6,226,0.7832,0.7685,0.7309,0.7447,0.9602
Caracaras and Falcons,7,346,0.8266,0.8250,0.8031,0.8134,0.9538
Grebes,9,375,0.8507,0.8745,0.8366,0.8492,0.9680
"Ducks, Geese, and Swans",70,2420,0.8512,0.8477,0.8228,0.8211,0.9707
Woodpeckers,16,843,0.8517,0.8445,0.8491,0.8428,0.9834
Perching Birds,265,12539,0.8653,0.8617,0.8433,0.8457,0.9726
Nightjars,1,39,0.8718,0.8718,0.8718,0.8718,0.9487
Owls,9,426,0.8850,0.9039,0.8736,0.8880,0.9742
"Pelicans, Herons, Ibises, and Allies",21,983,0.9095,0.9104,0.8984,0.9024,0.9817
Cranes and Rails,6,200,0.9100,0.9410,0.8308,0.8634,0.9650
"Plovers, Sandpipers, and Allies",32,1573,0.9110,0.9205,0.9085,0.9112,0.9854
Cuckoos,3,113,0.9115,0.8778,0.9025,0.8884,0.9912
Pigeons and Doves,7,359,0.9248,0.9367,0.9237,0.9300,0.9694
Storks,1,56,0.9643,0.9643,0.9643,0.9643,0.9643
Parrots,1,28,0.9643,1.0000,0.9643,0.9818,0.9643
"Grouse, Quail, and Allies",10,342,0.9649,0.9667,0.9466,0.9551,0.9912
Kingfishers and Allies,1,60,0.9667,0.9831,0.9667,0.9748,0.9667
