species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.1111,0.1875,0.1111,0.1395,0.8889
Bank Swallow,1,27,0.2222,0.8571,0.2222,0.3529,0.7407
Fish Crow,1,30,0.2333,0.3333,0.2333,0.2745,0.7667
Pacific Wren,1,21,0.2381,1.0000,0.2381,0.3846,0.8571
Tundra Swan,1,28,0.2857,0.4706,0.2857,0.3556,0.9643
California Gull,2,66,0.3030,0.4034,0.2751,0.3271,0.8333
Barrow's Goldeneye,2,60,0.3167,1.0000,0.2829,0.4010,0.9167
Greater Scaup,2,73,0.3562,0.7424,0.3426,0.4674,0.7945
Northwestern Crow,1,19,0.3684,0.5833,0.3684,0.4516,0.9474
Mew Gull,1,23,0.3913,0.4286,0.3913,0.4091,0.8696
Cave Swallow,1,34,0.4118,0.5185,0.4118,0.4590,0.7647
Great Cormorant,2,64,0.4219,0.6032,0.4208,0.4941,0.9062
Cassin's Vireo,1,36,0.4444,0.4848,0.4444,0.4638,0.9167
Red-naped Sapsucker,1,54,0.4630,0.7353,0.4630,0.5682,1.0000
Allen's Hummingbird,2,101,0.4752,0.7931,0.4425,0.5401,0.9307
Neotropic Cormorant,1,38,0.5000,0.7037,0.5000,0.5846,0.9211
Mourning Warbler,1,52,0.5000,0.8966,0.5000,0.6420,0.8269
Western Wood-Pewee,1,49,0.5102,0.5814,0.5102,0.5435,0.9184
Brandt's Cormorant,1,33,0.5152,0.7727,0.5152,0.6182,0.9697
Swainson's Hawk,3,93,0.5161,0.5578,0.4944,0.5235,0.9140
Bell's Vireo,1,29,0.5172,0.7500,0.5172,0.6122,0.7586
Boreal Chickadee,1,42,0.5238,1.0000,0.5238,0.6875,0.8571
Western Gull,2,59,0.5254,0.4858,0.4738,0.4784,0.8475
Western Screech-Owl,1,34,0.5294,0.5625,0.5294,0.5455,1.0000
Western Sandpiper,1,51,0.5294,0.7941,0.5294,0.6353,1.0000
Black Guillemot,2,32,0.5312,0.5577,0.5583,0.5568,0.8750
Common Raven,1,57,0.5439,0.4697,0.5439,0.5041,0.9649
Costa's Hummingbird,2,58,0.5517,0.4643,0.4530,0.4586,0.9138
Plumbeous Vireo,1,41,0.5610,0.6389,0.5610,0.5974,0.9268
Least Flycatcher,1,60,0.5667,0.7727,0.5667,0.6538,0.9167
Vaux's Swift,1,28,0.5714,0.5161,0.5714,0.5424,0.9643
Greater Yellowlegs,1,59,0.5763,0.7083,0.5763,0.6355,0.9661
Pacific-slope Flycatcher,1,59,0.5763,0.6939,0.5763,0.6296,0.9322
Mississippi Kite,1,50,0.5800,0.7436,0.5800,0.6517,0.8800
Rusty Blackbird,1,48,0.5833,0.8485,0.5833,0.6914,0.8750
Glaucous-winged Gull,2,60,0.6000,0.7002,0.5598,0.6221,0.9667
Broad-winged Hawk,2,55,0.6000,0.7886,0.6008,0.6803,0.8727
Black-capped Chickadee,1,60,0.6000,0.8182,0.6000,0.6923,0.9333
Boat-tailed Grackle,1,60,0.6000,0.6000,0.6000,0.6000,0.9167
Black-chinned Hummingbird,2,109,0.6055,0.6041,0.6249,0.6143,0.8349
Pacific Loon,2,47,0.6170,0.7407,0.6407,0.6852,1.0000
Hoary Redpoll,1,29,0.6207,0.8571,0.6207,0.7200,1.0000
Rufous Hummingbird,2,87,0.6207,0.5036,0.6103,0.5506,0.9885
Black Tern,1,35,0.6286,0.8800,0.6286,0.7333,0.8857
American Crow,1,57,0.6316,0.4091,0.6316,0.4966,0.9825
Juniper Titmouse,1,25,0.6400,0.7273,0.6400,0.6809,0.9600
Hutton's Vireo,1,39,0.6410,0.7576,0.6410,0.6944,0.9744
Brown-capped Rosy-Finch,1,34,0.6471,0.8462,0.6471,0.7333,0.9706
Snow Goose,2,54,0.6481,0.7545,0.6456,0.6941,0.9815
Brewer's Blackbird,2,91,0.6484,0.7128,0.6476,0.6785,0.9341
Sharp-shinned Hawk,2,116,0.6552,0.6381,0.6552,0.6443,0.9655
Peregrine Falcon,2,77,0.6623,0.6614,0.6490,0.6548,0.9351
Chimney Swift,1,33,0.6667,0.7586,0.6667,0.7097,1.0000
Great-tailed Grackle,1,60,0.6667,0.6897,0.6667,0.6780,0.9000
Broad-tailed Hummingbird,2,73,0.6712,0.6745,0.6509,0.6574,0.9041
