true_class,pred_class,count,same_species,same_order
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),27,False,True
Western Wood-Pewee,Eastern Wood-Pewee,23,False,True
Greater Yellowlegs,Lesser Yellowlegs,22,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,21,False,True
Black-capped Chickadee,Carolina Chickadee,20,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),20,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",18,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),18,False,True
Mourning Warbler,MacGillivray's Warbler,17,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",17,False,True
Western Screech-Owl,Eastern Screech-Owl,16,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),16,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),16,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),15,False,True
Pacific Wren,Winter Wren,15,False,True
Hairy Woodpecker,Downy Woodpecker,15,False,True
Great-tailed Grackle,Boat-tailed Grackle,15,False,True
Cassin's Vireo,Blue-headed Vireo,15,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),15,False,True
Chihuahuan Raven,Common Raven,15,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,15,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",14,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),13,False,True
Boat-tailed Grackle,Great-tailed Grackle,13,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),13,True,True
Common Raven,American Crow,13,False,True
American Crow,Common Raven,13,False,True
Western Sandpiper,Semipalmated Sandpiper,12,False,True
Tundra Swan,Trumpeter Swan,12,False,True
Common Tern,Forster's Tern,12,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),12,True,True
Western Grebe,Clark's Grebe,11,False,True
Peregrine Falcon (Immature),Peregrine Falcon (Adult),11,True,True
Hoary Redpoll,Common Redpoll,11,False,True
Great Cormorant (Adult),Double-crested Cormorant (Adult),11,False,True
Red-shouldered Hawk (Adult ),Red-shouldered Hawk (Immature),11,True,True
Northern Harrier (Adult male),"Northern Harrier (Female, immature)",11,True,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),10,False,True
European Starling (Nonbreeding Adult),European Starling (Breeding Adult),10,True,True
Common Loon (Breeding),Common Loon (Nonbreeding/juvenile),10,True,True
Yellow-rumped Warbler (Winter/juvenile Myrtle),Yellow-rumped Warbler (Winter/juvenile Audubon's),10,True,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),10,True,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",10,False,True
Chimney Swift,Vaux's Swift,10,False,True
Black Guillemot (Breeding),Pigeon Guillemot (Breeding),10,False,True
Eastern Screech-Owl,Western Screech-Owl,10,False,True
Snow Goose (White morph),Ross's Goose,10,False,True
Eastern Wood-Pewee,Western Wood-Pewee,9,False,True
Plumbeous Vireo,Cassin's Vireo,9,False,True
California Gull (Adult),Ring-billed Gull (Adult),9,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),9,True,True
Canyon Towhee,California Towhee,9,False,True
Hooded Oriole (Female/Immature male),Orchard Oriole (Female/Juvenile),9,False,True
Fish Crow,American Crow,9,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),8,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),8,False,True
Lesser Yellowlegs,Greater Yellowlegs,8,False,True
"Costa's Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",8,False,True
Eastern Meadowlark,Western Meadowlark,8,False,True
Downy Woodpecker,Hairy Woodpecker,8,False,True
