class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,2,12,24,0.1429,0.0769,0.1000,0.0769,0.5385,Herring Gull (Immature) (6)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,3,11,18,0.2143,0.1429,0.1714,0.1429,0.9048,"Black-chinned Hummingbird (Female, immature) (8)"
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,3,1,27,0.7500,0.1000,0.1765,0.1000,0.7333,Lesser Scaup (Female/Eclipse male) (20)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,0,8,1.0000,0.1111,0.2000,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (6)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,5,11,22,0.3125,0.1852,0.2326,0.1852,0.9630,Common Raven (15)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,6,15,19,0.2857,0.2400,0.2609,0.2400,0.7200,Herring Gull (Immature) (6)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,6,9,18,0.4000,0.2500,0.3077,0.2500,0.7917,Double-crested Cormorant (Immature) (13)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,12,20,24,0.3750,0.3333,0.3529,0.3333,0.9722,Blue-headed Vireo (15)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,10,3,31,0.7692,0.2439,0.3704,0.2439,0.9512,"Rufous Hummingbird (Female, immature) (17)"
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,24,43,35,0.3582,0.4068,0.3810,0.4068,0.8305,"Ruby-throated Hummingbird (Female, immature) (14)"
344,Fish Crow,Fish Crow,Perching Birds,30,10,12,20,0.4545,0.3333,0.3846,0.3333,0.9333,American Crow (9)
377,Pacific Wren,Pacific Wren,Perching Birds,21,6,1,15,0.8571,0.2857,0.4286,0.2857,0.8571,Winter Wren (15)
351,Bank Swallow,Bank Swallow,Perching Birds,27,8,2,19,0.8000,0.2963,0.4324,0.2963,0.8889,Northern Rough-winged Swallow (7)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,7,0,18,1.0000,0.2800,0.4375,0.2800,1.0000,Common Goldeneye (Female/Eclipse male) (15)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,15,23,15,0.3947,0.5000,0.4412,0.5000,0.9333,Swainson's Hawk (Light morph ) (5)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,5,1,11,0.8333,0.3125,0.4545,0.3125,0.9375,Fox Sparrow (Sooty) (10)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,9,7,14,0.5625,0.3913,0.4615,0.3913,0.8261,Ring-billed Gull (Adult) (4)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,21,19,28,0.5250,0.4286,0.4719,0.4286,0.9184,Eastern Wood-Pewee (23)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,9,10,10,0.4737,0.4737,0.4737,0.4737,1.0000,American Crow (7)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,19,29,12,0.3958,0.6129,0.4810,0.6129,0.9677,Pacific-slope Flycatcher (4)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,8,5,12,0.6154,0.4000,0.4848,0.4000,0.9500,Pigeon Guillemot (Breeding) (10)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,10,7,14,0.5882,0.4167,0.4878,0.4167,0.7500,Red-tailed Hawk (Light morph immature) (5)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,27,33,21,0.4500,0.5625,0.5000,0.5625,0.9583,"Black-chinned Hummingbird (Female, immature) (6)"
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,10,8,12,0.5556,0.4545,0.5000,0.4545,1.0000,Herring Gull (Immature) (6)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,15,16,14,0.4839,0.5172,0.5000,0.5172,0.8621,"Calliope Hummingbird (Female, immature) (10)"
501,American Crow,American Crow,Perching Birds,57,32,36,25,0.4706,0.5614,0.5120,0.5614,0.8947,Common Raven (13)
41,Great Cormorant (Adult),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",40,19,14,21,0.5758,0.4750,0.5205,0.4750,0.9250,Double-crested Cormorant (Adult) (11)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,18,10,23,0.6429,0.4390,0.5217,0.4390,0.9268,Ring-billed Gull (Adult) (9)
275,"Ruby-throated Hummingbird (Female, immature)",Ruby-throated Hummingbird,Swifts and Hummingbirds,60,34,36,26,0.4857,0.5667,0.5231,0.5667,0.9667,"Black-chinned Hummingbird (Female, immature) (18)"
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,19,13,19,0.5938,0.5000,0.5429,0.5000,0.9211,Double-crested Cormorant (Immature) (8)
