order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6568,0.6670,0.6420,0.6420,0.9549
Skuas and Alcids,4,91,0.6923,0.6944,0.6278,0.6519,0.9341
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7518,0.7154,0.6985,0.6946,0.9607
"Hawks, Kites, Eagles, and Allies",29,1260,0.7651,0.7636,0.7513,0.7517,0.9587
"Gulls, Terns, and Allies",26,1038,0.7726,0.7386,0.7417,0.7352,0.9518
Loons,6,226,0.7832,0.7994,0.7537,0.7708,0.9867
Caracaras and Falcons,7,346,0.8295,0.8337,0.8037,0.8151,0.9740
Woodpeckers,16,843,0.8648,0.8650,0.8618,0.8607,0.9905
Grebes,9,375,0.8667,0.8634,0.8587,0.8587,0.9760
"Ducks, Geese, and Swans",70,2420,0.8682,0.8687,0.8399,0.8408,0.9806
Perching Birds,265,12539,0.8774,0.8744,0.8565,0.8591,0.9781
Owls,9,426,0.8967,0.8858,0.8839,0.8830,0.9883
"Plovers, Sandpipers, and Allies",32,1573,0.9186,0.9275,0.9170,0.9195,0.9911
Cranes and Rails,6,200,0.9250,0.9446,0.8554,0.8855,0.9950
Cuckoos,3,113,0.9292,0.9435,0.9167,0.9243,1.0000
Pigeons and Doves,7,359,0.9304,0.9535,0.9292,0.9409,0.9833
"Pelicans, Herons, Ibises, and Allies",21,983,0.9329,0.9309,0.9229,0.9256,0.9888
Nightjars,1,39,0.9487,0.9487,0.9487,0.9487,0.9744
Storks,1,56,0.9643,0.9643,0.9643,0.9643,1.0000
"Grouse, Quail, and Allies",10,342,0.9678,0.9485,0.9496,0.9487,0.9971
Kingfishers and Allies,1,60,0.9833,1.0000,0.9833,0.9916,0.9833
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
