species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.1852,0.3125,0.1852,0.2326,0.9630
Pacific Wren,1,21,0.2857,0.8571,0.2857,0.4286,0.8571
Bank Swallow,1,27,0.2963,0.8000,0.2963,0.4324,0.8889
Greater Scaup,2,73,0.3288,0.7639,0.2942,0.3882,0.8493
Cassin's Vireo,1,36,0.3333,0.3750,0.3333,0.3529,0.9722
Fish Crow,1,30,0.3333,0.4545,0.3333,0.3846,0.9333
California Gull,2,66,0.3636,0.4643,0.3395,0.3913,0.8485
Great Cormorant,2,64,0.3906,0.4879,0.3625,0.4141,0.8750
Mew Gull,1,23,0.3913,0.5625,0.3913,0.4615,0.8261
Allen's Hummingbird,2,101,0.3960,0.7794,0.3720,0.4913,0.9802
Western Wood-Pewee,1,49,0.4286,0.5250,0.4286,0.4719,0.9184
Barrow's Goldeneye,2,60,0.4333,1.0000,0.4114,0.5706,0.9500
Brandt's Cormorant,1,33,0.4545,0.8333,0.4545,0.5882,0.9697
Mourning Warbler,1,52,0.4615,0.7500,0.4615,0.5714,0.9231
Black Guillemot,2,32,0.4688,0.6259,0.4917,0.5468,0.8750
Northwestern Crow,1,19,0.4737,0.4737,0.4737,0.4737,1.0000
Neotropic Cormorant,1,38,0.5000,0.5938,0.5000,0.5429,0.9211
Western Screech-Owl,1,34,0.5000,0.6296,0.5000,0.5574,1.0000
Tundra Swan,1,28,0.5357,0.7895,0.5357,0.6383,1.0000
Boreal Chickadee,1,42,0.5476,1.0000,0.5476,0.7077,0.8571
Western Sandpiper,1,51,0.5490,0.8000,0.5490,0.6512,1.0000
Costa's Hummingbird,2,58,0.5517,0.4887,0.4633,0.4724,0.9310
Hoary Redpoll,1,29,0.5517,0.8421,0.5517,0.6667,0.9655
Cave Swallow,1,34,0.5588,0.7308,0.5588,0.6333,0.7647
American Crow,1,57,0.5614,0.4706,0.5614,0.5120,0.8947
Broad-winged Hawk,2,55,0.5636,0.7782,0.5643,0.6525,0.8909
Swainson's Hawk,3,93,0.5699,0.5733,0.5449,0.5521,0.9140
Red-naped Sapsucker,1,54,0.5741,0.7209,0.5741,0.6392,1.0000
Western Gull,2,59,0.5763,0.5039,0.5233,0.5071,0.7966
Black-chinned Hummingbird,2,109,0.5780,0.5691,0.5934,0.5805,0.8716
Plumbeous Vireo,1,41,0.5854,0.6486,0.5854,0.6154,0.9024
Bell's Vireo,1,29,0.5862,0.6538,0.5862,0.6182,0.8966
Greater Yellowlegs,1,59,0.5932,0.7955,0.5932,0.6796,0.9661
Sharp-shinned Hawk,2,116,0.5948,0.6108,0.5948,0.5989,0.9741
Juniper Titmouse,1,25,0.6000,0.7143,0.6000,0.6522,0.9600
Least Flycatcher,1,60,0.6000,0.6316,0.6000,0.6154,0.9667
Vaux's Swift,1,28,0.6071,0.5312,0.6071,0.5667,1.0000
Cordilleran Flycatcher,1,31,0.6129,0.3958,0.6129,0.4810,0.9677
Common Raven,1,57,0.6140,0.5000,0.6140,0.5512,0.9298
Great-tailed Grackle,1,60,0.6167,0.5968,0.6167,0.6066,0.9500
Pacific-slope Flycatcher,1,59,0.6271,0.7255,0.6271,0.6727,0.9492
Broad-tailed Hummingbird,2,73,0.6301,0.6725,0.6109,0.6375,0.9178
Black-capped Chickadee,1,60,0.6333,0.8636,0.6333,0.7308,0.9500
Glaucous-winged Gull,2,60,0.6333,0.6462,0.5957,0.6184,1.0000
Chimney Swift,1,33,0.6364,0.7778,0.6364,0.7000,1.0000
Boat-tailed Grackle,1,60,0.6500,0.5821,0.6500,0.6142,0.9500
Eastern Wood-Pewee,1,49,0.6531,0.5161,0.6531,0.5766,0.9388
Common Tern,1,60,0.6667,0.8696,0.6667,0.7547,0.9333
Black-crested Titmouse,1,33,0.6667,0.9565,0.6667,0.7857,1.0000
Western Grebe,1,42,0.6667,0.8485,0.6667,0.7467,1.0000
Rusty Blackbird,1,48,0.6667,0.8649,0.6667,0.7529,0.9375
Brown-capped Rosy-Finch,1,34,0.6765,0.8214,0.6765,0.7419,0.9706
Ruby-throated Hummingbird,2,114,0.6842,0.6357,0.6907,0.6615,0.9649
Calliope Hummingbird,2,89,0.6854,0.6609,0.6959,0.6750,0.9438
Peregrine Falcon,2,77,0.6883,0.6380,0.6602,0.6434,0.9740
Mexican Jay,1,26,0.6923,1.0000,0.6923,0.8182,1.0000
Cliff Swallow,1,30,0.7000,0.5833,0.7000,0.6364,0.8000
Mississippi Kite,1,50,0.7000,0.9459,0.7000,0.8046,0.9800
Hairy Woodpecker,1,60,0.7000,0.8077,0.7000,0.7500,1.0000
Snow Goose,2,54,0.7037,0.7676,0.6992,0.7308,0.9815
Hooded Oriole,2,78,0.7051,0.8919,0.6847,0.7670,0.9615
Red-shouldered Hawk,2,76,0.7105,0.6843,0.7105,0.6926,0.9342
Brewer's Blackbird,2,91,0.7143,0.8100,0.7288,0.7662,0.9341
Prairie Falcon,1,42,0.7143,0.8571,0.7143,0.7792,0.9286
Brewer's Sparrow,1,35,0.7143,0.7353,0.7143,0.7246,1.0000
Cooper's Hawk,2,117,0.7179,0.6390,0.7162,0.6753,0.9744
Herring Gull,2,101,0.7228,0.5957,0.7077,0.6467,0.9604
Pacific Loon,2,47,0.7234,0.8200,0.7463,0.7814,1.0000
Bay-breasted Warbler,2,62,0.7258,0.8587,0.7153,0.7669,0.8871
Red-tailed Hawk,3,150,0.7333,0.7411,0.7000,0.7168,0.9533
Rufous Hummingbird,2,87,0.7356,0.5385,0.7243,0.6177,0.9885
White-winged Scoter,2,57,0.7368,0.8357,0.7352,0.7792,0.9649
MacGillivray's Warbler,1,46,0.7391,0.6667,0.7391,0.7010,0.9783
Ross's Goose,1,23,0.7391,0.6296,0.7391,0.6800,1.0000
Canyon Towhee,1,46,0.7391,0.8095,0.7391,0.7727,0.9783
Anna's Hummingbird,2,106,0.7453,0.7096,0.7436,0.7262,0.9811
Black-billed Cuckoo,1,32,0.7500,0.9600,0.7500,0.8421,1.0000
Mottled Duck,1,29,0.7586,0.7586,0.7586,0.7586,1.0000
Yellow-rumped Warbler,4,214,0.7617,0.7530,0.7553,0.7510,0.9860
Hutton's Vireo,1,39,0.7692,0.8108,0.7692,0.7895,1.0000
Pine Warbler,1,48,0.7708,0.8810,0.7708,0.8222,0.9375
Chipping Sparrow,2,106,0.7736,0.8258,0.7518,0.7838,0.9811
Eastern Meadowlark,1,40,0.7750,0.8378,0.7750,0.8052,1.0000
Golden Eagle,2,72,0.7778,0.8007,0.7810,0.7903,0.9306
Red-throated Loon,2,59,0.7797,0.7639,0.7066,0.7273,0.9661
Cape May Warbler,1,60,0.7833,0.9792,0.7833,0.8704,0.9500
Violet-green Swallow,1,37,0.7838,0.8788,0.7838,0.8286,0.8919
Cackling Goose,1,14,0.7857,0.7857,0.7857,0.7857,1.0000
Golden-fronted Woodpecker,1,33,0.7879,0.8966,0.7879,0.8387,0.9697
Lesser Goldfinch,2,95,0.7895,0.8834,0.7385,0.7904,0.9263
Royal Tern,1,38,0.7895,0.8333,0.7895,0.8108,0.9737
Eastern Screech-Owl,1,50,0.8000,0.6780,0.8000,0.7339,1.0000
Red-necked Grebe,2,60,0.8000,0.7742,0.8031,0.7882,0.9500
Eastern Phoebe,1,60,0.8000,0.8571,0.8000,0.8276,0.9333
Ring-billed Gull,2,96,0.8021,0.6936,0.7972,0.7418,0.9583
Lark Bunting,2,51,0.8039,0.9500,0.7903,0.8597,0.9608
Black-throated Gray Warbler,1,41,0.8049,0.9429,0.8049,0.8684,0.9756
Northern Harrier,2,120,0.8083,0.8836,0.8083,0.8270,0.9250
Common Loon,2,120,0.8083,0.8143,0.8083,0.8037,0.9917
Merlin,1,58,0.8103,0.8868,0.8103,0.8468,0.9655
Rough-legged Hawk,2,64,0.8125,0.7321,0.7917,0.7579,0.9844
Pigeon Guillemot,2,59,0.8136,0.7629,0.7640,0.7570,0.9661
