true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,23,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),22,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,22,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",20,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),19,False,True
Greater Yellowlegs,Lesser Yellowlegs,18,False,True
Western Screech-Owl,Eastern Screech-Owl,17,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),17,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),17,False,True
Western Wood-Pewee,Eastern Wood-Pewee,16,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,16,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),16,False,True
Tundra Swan,Trumpeter Swan,16,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),16,True,True
Chihuahuan Raven,Common Raven,15,False,True
Mourning Warbler,MacGillivray's Warbler,15,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",15,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),15,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",15,False,True
Pacific Wren,Winter Wren,15,False,True
Boat-tailed Grackle,Great-tailed Grackle,15,False,True
Northern Harrier (Adult male),"Northern Harrier (Female, immature)",14,True,True
Chimney Swift,Vaux's Swift,14,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),13,False,True
Lesser Yellowlegs,Greater Yellowlegs,13,False,True
Great-tailed Grackle,Boat-tailed Grackle,12,False,True
Hairy Woodpecker,Downy Woodpecker,12,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",11,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),11,False,True
American Crow,Common Raven,11,False,True
Eastern Wood-Pewee,Western Wood-Pewee,11,False,True
Boreal Chickadee,Chestnut-backed Chickadee,10,False,True
Laughing Gull (Nonbreeding/Immature),Laughing Gull (Breeding),10,True,True
Cassin's Vireo,Blue-headed Vireo,10,False,True
Common Raven,American Crow,10,False,True
Eastern Screech-Owl,Western Screech-Owl,10,False,True
Common Tern,Forster's Tern,10,False,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),9,True,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),9,True,True
Hooded Oriole (Female/Immature male),Orchard Oriole (Female/Juvenile),9,False,True
Brown-capped Rosy-Finch,Gray-crowned Rosy-Finch,9,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),9,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",9,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),9,False,True
Dark-eyed Junco (White-winged),Dark-eyed Junco (Slate-colored),8,True,True
Least Flycatcher,Cordilleran Flycatcher,8,False,True
California Gull (Adult),Ring-billed Gull (Adult),8,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),8,True,True
Plumbeous Vireo,Cassin's Vireo,8,False,True
Western Sandpiper,Semipalmated Sandpiper,8,False,True
Trumpeter Swan,Tundra Swan,8,False,True
Downy Woodpecker,Hairy Woodpecker,8,False,True
Northwestern Crow,American Crow,8,False,True
"Anna's Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",8,False,True
Hoary Redpoll,Common Redpoll,8,False,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),8,True,True
Snow Goose (White morph),Ross's Goose,8,False,True
Juniper Titmouse,Oak Titmouse,8,False,True
Black-crested Titmouse,Tufted Titmouse,7,False,True
European Starling (Nonbreeding Adult),European Starling (Breeding Adult),7,True,True
