class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,0,8,1.0000,0.1111,0.2000,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (8)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,4,7,22,0.3636,0.1538,0.2162,0.1538,0.6923,Glaucous-winged Gull (Immature) (6)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,4,0,21,1.0000,0.1600,0.2759,0.1600,1.0000,Common Goldeneye (Female/Eclipse male) (17)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,6,7,19,0.4615,0.2400,0.3158,0.2400,0.8800,Ring-billed Gull (Immature) (5)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,7,9,20,0.4375,0.2593,0.3256,0.2593,0.9259,Common Raven (15)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,13,20,16,0.3939,0.4483,0.4194,0.4483,0.8621,"Calliope Hummingbird (Female, immature) (9)"
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,9,3,21,0.7500,0.3000,0.4286,0.3000,0.8333,Lesser Scaup (Female/Eclipse male) (17)
377,Pacific Wren,Pacific Wren,Perching Birds,21,6,1,15,0.8571,0.2857,0.4286,0.2857,0.9524,Winter Wren (15)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,20,24,28,0.4545,0.4167,0.4348,0.4167,0.9167,"Broad-tailed Hummingbird (Female, immature) (15)"
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,8,9,11,0.4706,0.4211,0.4444,0.4211,1.0000,American Crow (8)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,9,7,12,0.5625,0.4286,0.4865,0.4286,1.0000,"Black-chinned Hummingbird (Female, immature) (6)"
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,10,7,14,0.5882,0.4167,0.4878,0.4167,0.8750,Double-crested Cormorant (Immature) (7)
344,Fish Crow,Fish Crow,Perching Birds,30,13,10,17,0.5652,0.4333,0.4906,0.4333,0.9000,American Crow (7)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,10,6,14,0.6250,0.4167,0.5000,0.4167,0.9167,Red-tailed Hawk (Light morph immature) (6)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,12,8,16,0.6000,0.4286,0.5000,0.4286,1.0000,Trumpeter Swan (16)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,16,6,25,0.7273,0.3902,0.5079,0.3902,0.9756,"Rufous Hummingbird (Female, immature) (20)"
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,33,37,26,0.4714,0.5593,0.5116,0.5593,0.8305,"Ruby-throated Hummingbird (Female, immature) (11)"
351,Bank Swallow,Bank Swallow,Perching Birds,27,10,1,17,0.9091,0.3704,0.5263,0.3704,0.9630,Northern Rough-winged Swallow (7)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,25,31,12,0.4464,0.6757,0.5376,0.6757,1.0000,"Calliope Hummingbird (Female, immature) (6)"
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,19,15,17,0.5588,0.5278,0.5429,0.5278,0.9722,Blue-headed Vireo (10)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,18,10,20,0.6429,0.4737,0.5455,0.4737,0.9474,Double-crested Cormorant (Immature) (9)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,14,11,12,0.5600,0.5385,0.5490,0.5385,0.9615,Hooded Oriole (Female/Immature male) (7)
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,13,5,16,0.7222,0.4483,0.5532,0.4483,0.8966,Red-shouldered Hawk (Immature) (6)
177,Western Screech-Owl,Western Screech-Owl,Owls,34,17,10,17,0.6296,0.5000,0.5574,0.5000,1.0000,Eastern Screech-Owl (17)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,23,26,8,0.4694,0.7419,0.5750,0.7419,0.9677,Least Flycatcher (3)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,19,19,9,0.5000,0.6786,0.5758,0.6786,0.9643,Chimney Swift (7)
