true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,27,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),25,False,True
Greater Yellowlegs,Lesser Yellowlegs,22,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),20,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),20,False,True
Western Wood-Pewee,Eastern Wood-Pewee,19,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",18,False,True
Common Loon (Breeding),Common Loon (Nonbreeding/juvenile),17,True,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),17,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),17,False,True
Great-tailed Grackle,Boat-tailed Grackle,17,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,17,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),16,False,True
Eastern Meadowlark,Western Meadowlark,16,False,True
Downy Woodpecker,Hairy Woodpecker,16,False,True
Cassin's Vireo,Blue-headed Vireo,16,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",15,False,True
Pacific Wren,Winter Wren,15,False,True
Western Screech-Owl,Eastern Screech-Owl,15,False,True
Chihuahuan Raven,Common Raven,15,False,True
Western Sandpiper,Semipalmated Sandpiper,15,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),15,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",15,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),14,False,True
Hairy Woodpecker,Downy Woodpecker,14,False,True
Eastern Screech-Owl,Western Screech-Owl,14,False,True
Common Tern,Forster's Tern,13,False,True
Chimney Swift,Vaux's Swift,13,False,True
Mourning Warbler,MacGillivray's Warbler,13,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,12,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),12,False,True
Western Grebe,Clark's Grebe,12,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),12,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),12,False,True
Peregrine Falcon (Immature),Peregrine Falcon (Adult),12,True,True
Tundra Swan,Trumpeter Swan,11,False,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),11,True,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),11,True,True
MacGillivray's Warbler,Mourning Warbler,10,False,True
Eastern Wood-Pewee,Western Wood-Pewee,10,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),10,True,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),10,True,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),10,True,True
Boat-tailed Grackle,Great-tailed Grackle,10,False,True
Snow Goose (White morph),Ross's Goose,10,False,True
Brewer's Blackbird (Male),Boat-tailed Grackle,9,False,True
Hermit Thrush,Swainson's Thrush,9,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",9,False,True
California Gull (Adult),Mew Gull,9,False,True
Red-tailed Hawk (Light morph adult),Red-tailed Hawk (Light morph immature),9,True,True
Glossy Ibis,White-faced Ibis,9,False,True
Black-crested Titmouse,Tufted Titmouse,9,False,True
Northwestern Crow,American Crow,9,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),9,False,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),9,True,True
Juniper Titmouse,Oak Titmouse,8,False,True
American Crow,Common Raven,8,False,True
Cassin's Kingbird,Western Kingbird,8,False,True
Hoary Redpoll,Common Redpoll,8,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),8,False,True
