class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,2,11,24,0.1538,0.0769,0.1026,0.0769,0.6154,Laughing Gull (Nonbreeding/Immature) (5)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,4,15,23,0.2105,0.1481,0.1739,0.1481,0.8889,Common Raven (15)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,4,11,21,0.2667,0.1600,0.2000,0.1600,0.8000,Ring-billed Gull (Immature) (5)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,10,29,26,0.2564,0.2778,0.2667,0.2778,0.9167,Blue-headed Vireo (16)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,6,3,24,0.6667,0.2000,0.3077,0.2000,0.8333,Lesser Scaup (Female/Eclipse male) (17)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,6,10,15,0.3750,0.2857,0.3243,0.2857,0.8571,"Ruby-throated Hummingbird (Female, immature) (8)"
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,5,6,14,0.4545,0.2632,0.3333,0.2632,0.9474,American Crow (9)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,7,8,17,0.4667,0.2917,0.3590,0.2917,0.7083,Swainson's Hawk (Light morph ) (3)
377,Pacific Wren,Pacific Wren,Perching Birds,21,6,6,15,0.5000,0.2857,0.3636,0.2857,0.9524,Winter Wren (15)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,2,0,7,1.0000,0.2222,0.3636,0.2222,0.8889,Dark-eyed Junco (Slate-colored) (6)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,9,13,18,0.4091,0.3333,0.3673,0.3333,0.9630,Common Loon (Nonbreeding/juvenile) (12)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,11,7,30,0.6111,0.2683,0.3729,0.2683,0.9512,"Rufous Hummingbird (Female, immature) (18)"
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,7,8,15,0.4667,0.3182,0.3784,0.3182,1.0000,Herring Gull (Immature) (8)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,6,0,19,1.0000,0.2400,0.3871,0.2400,0.9200,Common Goldeneye (Female/Eclipse male) (16)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,15,29,14,0.3409,0.5172,0.4110,0.5172,0.8621,"Calliope Hummingbird (Female, immature) (7)"
351,Bank Swallow,Bank Swallow,Perching Birds,27,7,0,20,1.0000,0.2593,0.4118,0.2593,0.8148,Northern Rough-winged Swallow (7)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,10,13,14,0.4348,0.4167,0.4255,0.4167,0.8750,Double-crested Cormorant (Immature) (8)
