order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6447,0.6438,0.6263,0.6269,0.9461
Loons,6,226,0.7124,0.7257,0.6903,0.6976,0.9159
Skuas and Alcids,4,91,0.7143,0.6819,0.6318,0.6501,0.9560
"Hawks, Kites, Eagles, and Allies",29,1260,0.7246,0.7213,0.7031,0.7061,0.9254
"Gulls, Terns, and Allies",26,1038,0.7437,0.7099,0.7105,0.7026,0.9528
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7518,0.7084,0.7051,0.6980,0.9558
Caracaras and Falcons,7,346,0.8150,0.8134,0.7912,0.7962,0.9566
Woodpeckers,16,843,0.8446,0.8430,0.8424,0.8408,0.9810
"Ducks, Geese, and Swans",70,2420,0.8450,0.8344,0.8146,0.8122,0.9723
Grebes,9,375,0.8453,0.8621,0.8384,0.8455,0.9707
Perching Birds,265,12539,0.8580,0.8517,0.8375,0.8390,0.9711
Nightjars,1,39,0.8718,0.8718,0.8718,0.8718,0.9487
Owls,9,426,0.8779,0.8851,0.8664,0.8753,0.9695
"Plovers, Sandpipers, and Allies",32,1573,0.9065,0.9172,0.9048,0.9068,0.9841
Pigeons and Doves,7,359,0.9081,0.9387,0.9126,0.9252,0.9805
"Pelicans, Herons, Ibises, and Allies",21,983,0.9135,0.9131,0.9053,0.9079,0.9868
Cuckoos,3,113,0.9204,0.9100,0.9102,0.9082,0.9823
Cranes and Rails,6,200,0.9300,0.9080,0.8742,0.8785,0.9800
"Grouse, Quail, and Allies",10,342,0.9532,0.9302,0.9239,0.9260,0.9854
Storks,1,56,0.9643,0.9643,0.9643,0.9643,1.0000
Kingfishers and Allies,1,60,0.9833,0.9833,0.9833,0.9833,0.9833
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
