species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.1481,0.2105,0.1481,0.1739,0.8889
Bank Swallow,1,27,0.2593,1.0000,0.2593,0.4118,0.8148
Northwestern Crow,1,19,0.2632,0.4545,0.2632,0.3333,0.9474
Greater Scaup,2,73,0.2740,0.7018,0.2628,0.3797,0.8356
Cassin's Vireo,1,36,0.2778,0.2564,0.2778,0.2667,0.9167
Pacific Wren,1,21,0.2857,0.5000,0.2857,0.3636,0.9524
California Gull,2,66,0.3030,0.4970,0.2751,0.3540,0.8636
Bell's Vireo,1,29,0.3793,0.5238,0.3793,0.4400,0.8966
Barrow's Goldeneye,2,60,0.4000,0.9737,0.3771,0.5269,0.9167
Allen's Hummingbird,2,101,0.4356,0.6493,0.4091,0.4920,0.9703
Great Cormorant,2,64,0.4375,0.5277,0.4333,0.4736,0.9062
Neotropic Cormorant,1,38,0.4474,0.6296,0.4474,0.5231,0.9211
Western Wood-Pewee,1,49,0.4490,0.5000,0.4490,0.4731,0.8571
Mourning Warbler,1,52,0.4615,0.6316,0.4615,0.5333,0.8269
Black Guillemot,2,32,0.4688,0.6066,0.4583,0.5203,0.9062
Juniper Titmouse,1,25,0.4800,0.5455,0.4800,0.5106,0.9200
Black-capped Chickadee,1,60,0.4833,0.8529,0.4833,0.6170,0.9333
Western Sandpiper,1,51,0.4902,0.7812,0.4902,0.6024,0.9412
Cave Swallow,1,34,0.5000,0.6296,0.5000,0.5574,0.7941
Vaux's Swift,1,28,0.5000,0.4242,0.5000,0.4590,0.9643
Pacific Loon,2,47,0.5106,0.6457,0.5417,0.5891,0.9574
Swainson's Hawk,3,93,0.5269,0.5275,0.4947,0.5027,0.8817
Western Screech-Owl,1,34,0.5294,0.5455,0.5294,0.5373,1.0000
Fish Crow,1,30,0.5333,0.4848,0.5333,0.5079,0.8667
Cordilleran Flycatcher,1,31,0.5484,0.3864,0.5484,0.4533,0.8710
Glaucous-winged Gull,2,60,0.5500,0.6273,0.5012,0.5554,0.9667
Calliope Hummingbird,2,89,0.5506,0.6603,0.5638,0.6080,0.9213
Western Gull,2,59,0.5593,0.4460,0.5082,0.4646,0.8305
Broad-winged Hawk,2,55,0.5636,0.6250,0.5703,0.5964,0.8727
Mew Gull,1,23,0.5652,0.4194,0.5652,0.4815,0.8696
Great-tailed Grackle,1,60,0.5667,0.6415,0.5667,0.6018,0.9500
Tundra Swan,1,28,0.5714,0.6667,0.5714,0.6154,1.0000
Cackling Goose,1,14,0.5714,0.8000,0.5714,0.6667,0.8571
Eastern Meadowlark,1,40,0.5750,0.7188,0.5750,0.6389,0.9750
Chimney Swift,1,33,0.5758,0.6552,0.5758,0.6129,0.9697
American Crow,1,57,0.5789,0.5000,0.5789,0.5366,0.9825
Greater Yellowlegs,1,59,0.5932,0.7778,0.5932,0.6731,0.9831
Sharp-shinned Hawk,2,116,0.5948,0.6167,0.5948,0.6055,0.9397
Boat-tailed Grackle,1,60,0.6000,0.5373,0.6000,0.5669,0.9167
MacGillivray's Warbler,1,46,0.6087,0.6512,0.6087,0.6292,0.9783
Pacific-slope Flycatcher,1,59,0.6102,0.7826,0.6102,0.6857,0.9831
Black-chinned Hummingbird,2,109,0.6147,0.5920,0.6227,0.6058,0.8899
Costa's Hummingbird,2,58,0.6207,0.5446,0.5483,0.5419,0.9310
Hoary Redpoll,1,29,0.6207,0.7200,0.6207,0.6667,0.9310
Black Tern,1,35,0.6286,0.8462,0.6286,0.7213,0.9143
Red-naped Sapsucker,1,54,0.6296,0.7727,0.6296,0.6939,0.9630
Snow Goose,2,54,0.6296,0.7510,0.6236,0.6814,1.0000
Plumbeous Vireo,1,41,0.6341,0.7027,0.6341,0.6667,0.9512
Brandt's Cormorant,1,33,0.6364,0.8400,0.6364,0.7241,0.9091
Black-crested Titmouse,1,33,0.6364,0.8750,0.6364,0.7368,1.0000
Brown-capped Rosy-Finch,1,34,0.6471,0.8462,0.6471,0.7333,0.9706
