cub_class,nabirds_species
acadian flycatcher,
american crow,American Crow
american goldfinch,American Goldfinch
american pipit,American Pipit
american redstart,American Redstart
american three toed woodpecker,
anna hummingbird,Anna's Hummingbird
artic tern,
baird sparrow,
baltimore oriole,Baltimore Oriole
bank swallow,Bank Swallow
barn swallow,Barn Swallow
bay breasted warbler,Bay-breasted Warbler
belted kingfisher,Belted Kingfisher
bewick wren,Bewick's Wren
black and white warbler,Black-and-white Warbler
black billed cuckoo,Black-billed Cuckoo
black capped vireo,
black footed albatross,
black tern,Black Tern
black throated blue warbler,Black-throated Blue Warbler
black throated sparrow,
blue grosbeak,Blue Grosbeak
blue headed vireo,Blue-headed Vireo
blue jay,Blue Jay
blue winged warbler,Blue-winged Warbler
boat tailed grackle,Boat-tailed Grackle
bobolink,Bobolink
bohemian waxwing,Bohemian Waxwing
brandt cormorant,Brandt's Cormorant
brewer blackbird,Brewer's Blackbird
brewer sparrow,Brewer's Sparrow
bronzed cowbird,Bronzed Cowbird
brown creeper,Brown Creeper
brown pelican,Brown Pelican
brown thrasher,Brown Thrasher
cactus wren,Cactus Wren
california gull,California Gull
canada warbler,Canada Warbler
cape glossy starling,
cape may warbler,Cape May Warbler
cardinal,Northern Cardinal
carolina wren,Carolina Wren
caspian tern,Caspian Tern
cedar waxwing,Cedar Waxwing
cerulean warbler,
chestnut sided warbler,Chestnut-sided Warbler
chipping sparrow,Chipping Sparrow
chuck will widow,Chuck-will's-widow
clark nutcracker,Clark's Nutcracker
clay colored sparrow,Clay-colored Sparrow
cliff swallow,Cliff Swallow
common raven,Common Raven
common tern,Common Tern
common yellowthroat,Common Yellowthroat
crested auklet,
dark eyed junco,Dark-eyed Junco
downy woodpecker,Downy Woodpecker
eared grebe,Eared Grebe
eastern towhee,Eastern Towhee
elegant tern,
european goldfinch,
evening grosbeak,Evening Grosbeak
field sparrow,Field Sparrow
fish crow,Fish Crow
florida jay,Florida Scrub-Jay
forsters tern,Forster's Tern
fox sparrow,Fox Sparrow
frigatebird,
gadwall,Gadwall
geococcyx,Greater Roadrunner
glaucous winged gull,Glaucous-winged Gull
golden winged warbler,
grasshopper sparrow,
gray catbird,Gray Catbird
gray crowned rosy finch,Gray-crowned Rosy-Finch
gray kingbird,
great crested flycatcher,Great Crested Flycatcher
great grey shrike,Northern Shrike
green jay,
green kingfisher,
green tailed towhee,Green-tailed Towhee
green violetear,
groove billed ani,
harris sparrow,Harris's Sparrow
heermann gull,Heermann's Gull
henslow sparrow,
herring gull,Herring Gull
hooded merganser,Hooded Merganser
hooded oriole,Hooded Oriole
hooded warbler,Hooded Warbler
horned grebe,Horned Grebe
horned lark,Horned Lark
horned puffin,
house sparrow,House Sparrow
house wren,House Wren
indigo bunting,Indigo Bunting
ivory gull,
kentucky warbler,
laysan albatross,
lazuli bunting,Lazuli Bunting
le conte sparrow,
least auklet,
least flycatcher,Least Flycatcher
least tern,
lincoln sparrow,Lincoln's Sparrow
loggerhead shrike,Loggerhead Shrike
long tailed jaeger,
louisiana waterthrush,Louisiana Waterthrush
magnolia warbler,Magnolia Warbler
mallard,Mallard
mangrove cuckoo,
marsh wren,Marsh Wren
mockingbird,Northern Mockingbird
mourning warbler,Mourning Warbler
myrtle warbler,Yellow-rumped Warbler
nashville warbler,Nashville Warbler
nelson sharp tailed sparrow,
nighthawk,Common Nighthawk
northern flicker,Northern Flicker
northern fulmar,
northern waterthrush,Northern Waterthrush
olive sided flycatcher,
orange crowned warbler,Orange-crowned Warbler
orchard oriole,Orchard Oriole
ovenbird,Ovenbird
pacific loon,Pacific Loon
painted bunting,Painted Bunting
palm warbler,Palm Warbler
parakeet auklet,
pelagic cormorant,Pelagic Cormorant
philadelphia vireo,
pied billed grebe,Pied-billed Grebe
pied kingfisher,
pigeon guillemot,Pigeon Guillemot
pileated woodpecker,Pileated Woodpecker
pine grosbeak,Pine Grosbeak
pine warbler,Pine Warbler
pomarine jaeger,
prairie warbler,Prairie Warbler
prothonotary warbler,Prothonotary Warbler
purple finch,Purple Finch
red bellied woodpecker,Red-bellied Woodpecker
red breasted merganser,Red-breasted Merganser
red cockaded woodpecker,
red eyed vireo,Red-eyed Vireo
red faced cormorant,
red headed woodpecker,Red-headed Woodpecker
red legged kittiwake,
red winged blackbird,Red-winged Blackbird
rhinoceros auklet,
ring billed gull,Ring-billed Gull
ringed kingfisher,
rock wren,
rose breasted grosbeak,Rose-breasted Grosbeak
ruby throated hummingbird,Ruby-throated Hummingbird
