class_id,leaf_name,base_name,species_name,order_name,variant_raw,phrase,sex,age,season,morph,form,female_side,male_only,n_train,n_test
295,Common Eider (Adult male),Common Eider,Common Eider,"Ducks, Geese, and Swans",Adult male,adult male,male,adult,,,,False,True,24,29
296,Long-tailed Duck (Winter male),Long-tailed Duck,Long-tailed Duck,"Ducks, Geese, and Swans",Winter male,winter male,male,,nonbreeding,,,False,True,34,30
297,Ruddy Duck (Breeding male),Ruddy Duck,Ruddy Duck,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,49,38
298,Swainson's Hawk (Dark morph ),Swainson's Hawk,Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",Dark morph,dark morph,,,,dark,,False,False,37,30
299,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",Light morph adult,light morph adult,,adult,,light,,False,False,60,60
313,Snow Goose (White morph),Snow Goose,Snow Goose,"Ducks, Geese, and Swans",White morph,white morph,,,,white,,False,False,21,26
314,Wood Duck (Breeding male),Wood Duck,Wood Duck,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,60,60
315,Gadwall (Breeding male),Gadwall,Gadwall,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,60,56
316,American Wigeon (Breeding male),American Wigeon,American Wigeon,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,51,45
317,Mallard (Breeding male),Mallard,Mallard,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,60,60
318,Blue-winged Teal (Male),Blue-winged Teal,Blue-winged Teal,"Ducks, Geese, and Swans",Male,male,male,,,,,False,True,41,42
319,Cinnamon Teal (Male),Cinnamon Teal,Cinnamon Teal,"Ducks, Geese, and Swans",Male,male,male,,,,,False,True,51,55
320,Northern Shoveler (Breeding male),Northern Shoveler,Northern Shoveler,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,60,60
321,Northern Pintail (Breeding male),Northern Pintail,Northern Pintail,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,45,42
322,Green-winged Teal (Male),Green-winged Teal,Green-winged Teal,"Ducks, Geese, and Swans",Male,male,male,,,,,False,True,56,41
323,Canvasback (Breeding male),Canvasback,Canvasback,"Ducks, Geese, and Swans",Breeding male,breeding male,male,,breeding,,,False,True,46,43
