species_class_id,common_name,gbif_scientific,tol_kingdom,tol_phylum,tol_class,tol_order,tol_family,tol_genus,tol_epithet,tol_common,tol_match,tol_scientific
302,Abert's Towhee,Melozone aberti,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,aberti,abert's towhee,common_name,Pipilo aberti
47,Acorn Woodpecker,Melanerpes formicivorus,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,formicivorus,Acorn Woodpecker,common_name,Melanerpes formicivorus
228,Allen's Hummingbird,Selasphorus sasin,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,sasin,Allen's Hummingbird,common_name,Selasphorus sasin
50,American Avocet,Recurvirostra americana,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,americana,American Avocet,common_name,Recurvirostra americana
98,American Black Duck,Anas rubripes,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,rubripes,American Black Duck,common_name,Anas rubripes
162,American Coot,Fulica americana,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,americana,American Coot,common_name,Fulica americana
683,American Crow,Corvus brachyrhynchos,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,brachyrhynchos,American Crow,common_name,Corvus brachyrhynchos
436,American Dipper,Cinclus mexicanus,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,mexicanus,American dipper,common_name,Cinclus mexicanus
726,American Goldfinch,Spinus tristis,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,tristis,american goldfinch,common_name,Carduelis tristis
94,American Kestrel,Falco sparverius,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,sparverius,American Kestrel,common_name,Falco sparverius
35,American Oystercatcher,Haematopus palliatus,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,palliatus,American Oystercatcher,common_name,Haematopus palliatus
