species_class_id,common_name,query_used,scientific_name,kingdom,phylum,class,order,family,genus,match,n_vernacular,in_tol_species,in_tol_genus,in_tol_family,in_tol_common
302,Abert's Towhee,Abert's Towhee,Melozone aberti,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melozone,vernacular_exact,51,True,True,True,True
47,Acorn Woodpecker,Acorn Woodpecker,Melanerpes formicivorus,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,vernacular_exact,58,True,True,True,True
228,Allen's Hummingbird,Allen's Hummingbird,Selasphorus sasin,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,vernacular_exact,56,True,True,True,True
50,American Avocet,American Avocet,Recurvirostra americana,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,vernacular_exact,82,True,True,True,True
98,American Black Duck,American Black Duck,Anas rubripes,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,vernacular_exact,132,True,True,True,True
162,American Coot,American Coot,Fulica americana,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,vernacular_exact,126,True,True,True,True
683,American Crow,American Crow,Corvus brachyrhynchos,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,vernacular_exact,94,True,True,True,True
436,American Dipper,American Dipper,Cinclus mexicanus,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,vernacular_exact,69,True,True,True,True
726,American Goldfinch,American Goldfinch,Spinus tristis,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,vernacular_exact,59,True,True,True,True
94,American Kestrel,American Kestrel,Falco sparverius,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,vernacular_exact,142,True,True,True,True
35,American Oystercatcher,American Oystercatcher,Haematopus palliatus,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,vernacular_exact,100,True,True,True,True
440,American Pipit,American Pipit,Anthus rubescens,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,vernacular_exact,124,True,True,True,True
412,American Redstart,American Redstart,Setophaga ruticilla,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,vernacular_exact,119,True,True,True,True
718,American Robin,American Robin,Turdus migratorius,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,vernacular_exact,130,True,True,True,True
309,American Tree Sparrow,American Tree Sparrow,Spizelloides arborea,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizelloides,vernacular_exact,55,True,True,True,True
29,American White Pelican,American White Pelican,Pelecanus erythrorhynchos,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,vernacular_exact,78,True,True,True,True
92,American Wigeon,American Wigeon,Mareca americana,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,vernacular_exact,114,True,True,True,True
154,American Woodcock,American Woodcock,Scolopax minor,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,vernacular_exact,80,True,True,True,True
221,Anhinga,Anhinga anhinga,Anhinga anhinga,Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga,vernacular_exact,95,True,True,True,True
152,Anna's Hummingbird,Anna's Hummingbird,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,vernacular_exact,57,True,True,True,True
586,Ash-throated Flycatcher,Ash-throated Flycatcher,Myiarchus cinerascens,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,vernacular_exact,62,True,True,True,True
108,Bald Eagle,Bald Eagle,Haliaeetus leucocephalus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,vernacular_exact,145,True,True,True,True
