split,img,txt,level,seed,zsl_unseen_acc,gzsl_seen,gzsl_unseen,gzsl_harmonic,all555_top1,vp81_bal,vp_bal,b0_zsl_unseen_acc,b0_gzsl_harmonic,b0_vp81_bal,b0_all555_top1
species,bioclip,bioclip,T2,,75.06,78.75,45.34,57.55,72.39,87.29,81.55,69.26,62.65,54.86,64.5
species,bioclip,bioclip,T2,100.0,74.08,80.12,44.21,56.98,73.28,88.81,83.29,69.26,62.65,54.86,64.5
species,bioclip,bioclip,T2,200.0,74.44,78.18,46.47,58.29,72.14,87.6,80.23,69.26,62.65,54.86,64.5
species,bioclip,clip_b16,T0d,,66.95,70.22,39.19,50.31,64.32,87.51,82.22,,,,
species,bioclip,clip_b16,T0s,,68.04,68.06,39.17,49.72,62.56,87.84,81.69,,,,
species,bioclip,clip_b16,T0v,,60.34,74.83,25.3,37.82,65.4,,,,,,
species,bioclip2,bioclip2,T2,,81.42,91.3,69.85,79.15,87.22,87.14,83.99,75.93,74.83,60.4,76.27
species,bioclip2,bioclip2,T2,100.0,80.71,88.56,73.1,80.09,85.62,82.54,76.97,75.93,74.83,60.4,76.27
species,bioclip2,bioclip2,T2,200.0,76.51,85.02,69.02,76.19,81.98,73.88,68.57,75.93,74.83,60.4,76.27
species,bioclip2,bioclip2,T3b,,81.08,90.89,68.04,77.82,86.54,87.11,84.56,74.33,74.36,64.02,76.61
species,bioclip2,clip_b16,T0d,,63.35,81.8,36.95,50.91,73.26,,,,,,
species,bioclip2,clip_b16,T0s,,68.49,80.72,45.17,57.92,73.95,81.79,75.41,,,,
species,clip_b16,clip_b16,T0d,,56.48,59.26,25.94,36.09,52.92,,,54.17,35.99,,36.68
species,clip_b16,clip_b16,T0s,,65.52,60.34,33.45,43.04,55.22,90.74,84.63,64.18,44.2,79.9,44.03
species,clip_b16,clip_b16,T3a,,56.09,58.76,24.66,34.74,52.28,88.33,82.96,52.1,33.37,68.06,34.4
variant,bioclip,bioclip,T2,,66.03,80.48,13.68,23.39,72.43,64.15,69.4,69.7,36.3,54.86,64.5
variant,bioclip,bioclip,T2,100.0,67.31,80.64,14.9,25.15,72.72,64.68,69.99,69.7,36.3,54.86,64.5
variant,bioclip,bioclip,T2,200.0,66.53,79.38,12.44,21.5,71.31,61.62,66.69,69.7,36.3,54.86,64.5
variant,bioclip,clip_b16,T0d,,58.44,68.87,21.27,32.5,63.13,73.82,73.72,,,,
variant,bioclip,clip_b16,T0s,,59.89,69.05,24.37,36.02,63.67,77.66,76.16,,,,
variant,bioclip,clip_b16,T0s,100.0,60.03,72.34,25.11,37.28,66.65,77.23,77.38,,,,
variant,bioclip,clip_b16,T0s,200.0,58.71,73.88,20.12,31.63,67.41,74.7,76.93,,,,
variant,bioclip,clip_b16,T0v,,57.8,67.79,19.14,29.86,61.93,,,,,,
variant,bioclip2,bioclip2,T2,,90.16,89.89,45.87,60.74,84.59,68.02,73.62,92.99,53.55,60.4,76.27
variant,bioclip2,bioclip2,T3b,,91.91,92.27,31.48,46.94,84.95,66.49,72.44,91.61,66.59,64.02,76.61
variant,bioclip2,clip_b16,T0d,,77.89,82.16,2.7,5.22,72.59,,,,,,
variant,bioclip2,clip_b16,T0s,,74.25,71.27,21.4,32.92,65.26,65.58,62.45,,,,
variant,clip_b16,clip_b16,T0d,,39.5,57.54,12.98,21.18,52.17,,,43.75,29.03,,36.68
variant,clip_b16,clip_b16,T0s,,45.33,60.23,21.6,31.8,55.58,85.63,82.67,46.85,36.58,79.9,44.03
variant,clip_b16,clip_b16,T0s,100.0,44.99,54.96,18.74,27.95,50.59,85.07,81.35,46.85,36.58,79.9,44.03
variant,clip_b16,clip_b16,T0s,200.0,43.98,57.83,19.65,29.33,53.23,85.51,82.33,46.85,36.58,79.9,44.03
variant,clip_b16,clip_b16,T3a,,40.95,60.11,15.27,24.35,54.71,79.73,79.16,40.48,31.09,68.06,34.4
