model,level,leaf555_top1,leaf555_top5,sp404_top1,leaf->sp404,macroF1,var137bal,var81bal,chance
bioclip,T3b,60.4,87.15,81.85,71.76,52.13,57.41,62.96,47.57
bioclip,T0s,46.42,56.91,81.36,48.44,33.93,57.65,62.66,47.57
bioclip,T0d,45.63,54.63,81.36,47.46,32.69,55.65,59.21,47.57
bioclip,T3a,58.1,84.91,81.85,70.49,49.45,53.17,55.64,47.57
bioclip,T2,64.5,92.67,81.85,80.23,57.11,52.49,54.86,47.57
bioclip,T3bx,58.55,85.75,81.85,71.16,49.6,52.69,54.83,47.57
bioclip,T0sx,45.5,54.72,81.36,47.52,32.59,52.96,54.57,47.57
bioclip,T0v,56.43,77.31,81.36,67.36,46.36,49.12,50.04,47.57
bioclip,T0,63.99,93.88,81.36,81.36,53.12,47.57,48.5,47.57
bioclip,T1,63.81,94.75,81.85,81.85,53.39,47.57,48.5,47.57
bioclip2,T3b,76.61,98.91,95.23,94.63,70.09,59.52,64.02,47.57
bioclip2,T0s,74.36,97.95,95.66,92.9,67.66,58.58,63.98,47.57
bioclip2,T2,76.27,98.94,95.23,94.99,69.41,56.95,60.4,47.57
bioclip2,T0v,75.21,99.09,95.66,95.41,67.46,54.49,58.08,47.57
bioclip2,T3a,76.08,98.97,95.23,94.89,68.23,55.54,57.14,47.57
bioclip2,T0d,74.39,98.02,95.66,93.8,65.99,54.12,56.29,47.57
bioclip2,T3bx,74.02,98.99,95.23,94.57,66.66,54.92,56.07,47.57
bioclip2,T0sx,70.74,96.82,95.66,91.87,62.42,52.02,52.67,47.57
bioclip2,T0,72.9,99.44,95.66,95.66,62.28,47.4,48.5,47.57
bioclip2,T1,73.09,99.19,95.23,95.23,62.16,47.57,48.5,47.57
clip_b16,T0s,44.03,80.14,50.87,50.73,40.17,71.97,79.9,47.57
clip_b16,T3b,35.44,71.5,41.46,42.82,31.04,70.17,77.44,47.57
clip_b16,T0d,44.19,79.66,50.87,50.93,39.73,69.92,76.35,47.57
clip_b16,T0v,44.55,79.43,50.87,51.41,39.2,67.91,75.32,47.57
clip_b16,T3a,34.4,70.69,41.46,42.96,29.33,64.73,68.06,47.57
clip_b16,T0sx,41.15,77.06,50.87,48.34,36.83,64.31,66.68,47.57
clip_b16,T2,33.56,69.42,41.46,41.74,27.52,60.72,62.97,47.57
clip_b16,T3bx,32.22,67.75,41.46,40.58,27.15,59.7,59.38,47.57
clip_b16,T0,41.68,77.64,50.87,50.87,33.93,47.57,48.5,47.57
clip_b16,T1,34.06,68.69,41.46,41.46,26.55,47.57,48.5,47.57
