run,n_test,n_classes,top1_accuracy,top5_accuracy,balanced_accuracy,cohen_kappa,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,species_404_accuracy,order_22_accuracy,model,level,space,taxo,n_unique_texts,n_multileaf_imgs,species_acc_on_multileaf,variant_acc,variant_prior,variant_gain,oracle_variant_n,oracle_variant_acc,oracle_variant_random,oracle_variant_prior,oracle_variant_gain,vp_n_leaves,vp_bal,vp_chance,vp81_n_leaves,vp81_bal,vp81_chance,errors_total,errors_within_same_species_pct,errors_within_same_order_pct
clip_b16_T0d_leaf,24633,555,0.4418868996874112,0.7965737019445459,0.41637186958307004,0.44081850617007623,0.45104875602563343,0.41637186958307004,0.39730366700324676,0.4418868996874112,0.4418868996874112,0.4418868996874112,0.4921096644846174,0.4418868996874112,0.43024142826144934,0.509276174237811,0.9541265781674989,clip_b16,T0d,leaf,gbif,555.0,11955.0,0.5008782936010038,0.7227788911155645,0.562107904642409,0.16067098647315547,11955.0,0.7073191133416981,0.4774208838700683,0.562107904642409,0.14521120869928905,288.0,0.6991638308028312,0.4756944444444444,167.0,0.7635189482131227,0.48502994011976047,13748.0,12.074483561245271,91.78062263601979
clip_b16_T0d_species,24633,404,0.508667235009946,0.8398895790200138,,,,,,,,,,,,,,clip_b16,T0d,species,gbif,,,,,,,,,,,,,,,,,,,,
clip_b16_T0s_leaf,24633,555,0.4403442536434864,0.8014452157674664,0.41899115147116683,0.43928331171924373,0.46739030849471747,0.41899115147116683,0.4017132964736371,0.4403442536434864,0.4403442536434864,0.4403442536434864,0.5075614048879298,0.4403442536434864,0.4315935314555246,0.5073275687086429,0.9547761133438882,clip_b16,T0s,leaf,gbif,555.0,11955.0,0.5074864073609369,0.7280369210482941,0.562107904642409,0.1659290164058851,11955.0,0.7205353408615642,0.4774208838700683,0.562107904642409,0.15842743621915523,288.0,0.719738118672759,0.4756944444444444,167.0,0.7990003548391064,0.48502994011976047,13786.0,11.968663861888873,91.91933845930654
clip_b16_T0s_species,24633,404,0.508667235009946,0.8398895790200138,,,,,,,,,,,,,,clip_b16,T0s,species,gbif,,,,,,,,,,,,,,,,,,,,
clip_b16_T0sx_leaf,24633,555,0.4115211301912069,0.7705922948889701,0.3876931823836511,0.4104020016163652,0.4250929139079589,0.3876931823836511,0.36829229004839653,0.4115211301912069,0.4115211301912069,0.4115211301912069,0.4662452926809114,0.4115211301912069,0.39960108002156997,0.4834165550278082,0.9532334672999635,clip_b16,T0sx,leaf,gbif,555.0,11955.0,0.4534504391468005,0.6733075078398819,0.562107904642409,0.11119960319747291,11955.0,0.6501045587620242,0.4774208838700683,0.562107904642409,0.08799665411961521,288.0,0.6430917737736643,0.4756944444444444,167.0,0.6668198318993502,0.48502994011976047,14496.0,12.217163355408388,92.05298013245033
clip_b16_T0sx_species,24633,404,0.508667235009946,0.8398895790200138,,,,,,,,,,,,,,clip_b16,T0sx,species,gbif,,,,,,,,,,,,,,,,,,,,
clip_b16_T3a_leaf,24633,555,0.3439694718467097,0.7069378476028092,0.3272643890126077,0.34272794698184084,0.36932157395211745,0.3272643890126077,0.2933183259740614,0.3439694718467097,0.3439694718467097,0.3439694718467097,0.40703626500844264,0.3439694718467097,0.3164513755487695,0.429586327284537,0.944261762676085,clip_b16,T3a,leaf,gbif,555.0,11955.0,0.4404851526557926,0.5995062666160274,0.562107904642409,0.037398361973618344,11955.0,0.6341279799247177,0.4774208838700683,0.562107904642409,0.0720200752823087,288.0,0.6472931422832912,0.4756944444444444,167.0,0.6805990238398782,0.48502994011976047,16160.0,13.050742574257427,91.50371287128712
clip_b16_T3a_species,24633,404,0.41456582633053224,0.7604433077578857,,,,,,,,,,,,,,clip_b16,T3a,species,gbif,,,,,,,,,,,,,,,,,,,,
clip_b16_T3b_leaf,24633,555,0.3544432265659887,0.7150164413591523,0.34153710391276243,0.3532336683953865,0.39353225387101376,0.34153710391276243,0.31043590868031185,0.3544432265659887,0.3544432265659887,0.3544432265659887,0.4285563284157213,0.3544432265659887,0.33085384093850334,0.4282466609832339,0.9436528234482199,clip_b16,T3b,leaf,gbif,555.0,11955.0,0.4439146800501882,0.6574335782928208,0.562107904642409,0.09532567365041178,11955.0,0.6878293601003764,0.4774208838700683,0.562107904642409,0.12572145545796742,288.0,0.7016657438620862,0.4756944444444444,167.0,0.7743673427302552,0.48502994011976047,15902.0,11.432524210791096,91.2715381712992
clip_b16_T3b_species,24633,404,0.41456582633053224,0.7604433077578857,,,,,,,,,,,,,,clip_b16,T3b,species,gbif,,,,,,,,,,,,,,,,,,,,
